Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Goat Brothers,"By Colton, Larry",," History , General",Doubleday,8.79,January,1993
The Missing Person,"By Grumbach, Doris",," Fiction , General",Putnam Pub Group,4.99,March,1981
Don't Eat Your Heart Out Cookbook,"By Piscatella, Joseph C.",," Cooking , Reference",Workman Pub Co,4.99,September,1983
When Your Corporate Umbrella Begins to Leak: A Handbook for White Collar Re-Employment,"By Davis, Paul D.",,,Natl Pr Books,4.99,April,1991
Amy Spangler's Breastfeeding : A Parent's Guide,"By Spangler, Amy",,,Amy Spangler,5.32,February,1997
The Foundation of Leadership: Enduring Principles to Govern Our Lives,"By Short, Bo",,,Excalibur Press,6.06,January,1997
Chicken Soup for the Soul: 101 Stories to Open the Heart and Rekindle the Spirit,"By Canfield, Jack (COM) and Hansen, Mark Victor (COM)",," Self-help , Personal Growth , Self-Esteem",Health Communications Inc,4.99,May,1993
Journey Through Heartsongs,"By Stepanek, Mattie J. T.","Collects poems written by the eleven-year-old muscular dystrophy patient, sharing his feelings and thoughts about his life, the deaths of his siblings, nature, faith, and hope."," Poetry , General",VSP Books,19.96,September,2001
In Search of Melancholy Baby,"By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.","The Russian author offers an affectionate chronicle of life in the United States, with discussions of such topics as the European charm of Washington, D.C., and the American immigration bureaucracy"," Biography & Autobiography , General",Random House,4.99,June,1987
Christmas Cookies,"By Eakin, Katherine M. and Deaman, Joane (EDT)",," Cooking , General",Oxmoor House,12.98,June,1986
The Dieter's Guide to Weight Loss During Sex,"By Smith, Richard","A humor classic, this tongue-in-cheek diet plan bases calorie counts on sexual activity and charts the exact number of calories burned.""You and your friends can read this book aloud while sitting on the beach and shed a combined total of ten thousand calories in thirty-three minutes. Yes, it's that funny.""-Glamour. Selection of the Quality Paperback Book and Playboy book clubs and a New York Times Bestseller. 935,000 copies in print."," Health & Fitness , Diet & Nutrition , Diets",Workman Publishing Company,4.99,January,1978
Germs : Biological Weapons and America's Secret War,"By Miller, Judith, Engelberg, Stephen, and Broad, William J.","Deadly germs sprayed in shopping malls, bomb-lets spewing anthrax spores over battlefields, tiny vials of plague scattered in Times Square -- these are the poor man's hydrogen bombs, hideous weapons of mass destruction that can be made in a simple laboratory. In this groundbreaking work of investigative journalism, Judith Miller, Stephen Engelberg, and William Broad of The New York Times uncover the truth about biological weapons and show why bio-warfare and bio-terrorism are fast becoming our worst national nightmare.  Among the startling revelations in Germs:   How the CIA secretly built and tested a model of a Soviet-designed germ bomb, alarming some officials who felt the work pushed to the limits of what is permitted by the global treaty banning germ arms. How the Pentagon embarked on a secret effort to make a superbug. Details about the Soviet Union's massive hidden program to produce biological weapons, including new charges that germs were tested on humans. How Moscow's scientists made an untraceable germ that instructs the body to destroy itself. The Pentagon's chaotic efforts to improvise defenses against Iraq's biological weapons during the 1991 Persian Gulf War. How a religious cult in Oregon in the 1980s sickened hundreds of Americans in a bio-terrorism attack that the government played down to avoid panic and copycat strikes. Plans by the U.S. military in the 1960s to attack Cuba with germ weapons.   Germs also shows how a small group of scientists and senior officials persuaded President Bill Clinton to launch a controversial multibillion-dollar program to detect a germ attack on U.S. soil and to aid its victims -- a program that, so far, is struggling to provide real protection.  Based on hundreds of interviews with scientists and senior officials, including President Clinton, as well as on recently declassified documents and on-site reporting from the former Soviet Union's sinister bio-weapons labs, Germs shows us bio-warriors past and present at work at their trade. There is the American scientist who devoted his professional life to perfecting biological weapons, and the Nobel laureate who helped pioneer the new biology of genetically modified germs and is now trying to stop its misuse. We meet former Soviet scientists who made enough plague, smallpox, and anthrax to kill everyone on Earth and whose expertise is now in great demand by terrorists, rogue states, and legitimate research labs alike.  A frightening and unforgettable narrative of cutting-edge science and spycraft, Germs shows us why advances in biology and the spread of germ weapons expertise to such countries as Iran, Iraq, and North Korea could make germs the weapon of the twenty-first century."," Technology & Engineering , Military Science",Simon & Schuster,4.99,October,2001
The Genesis of Ethics,"By Visotzky, Burton L.",," Religion , Ethics",Crown,4.99,September,1996
The Good Book: Reading the Bible with Mind and Heart,"By Gomes, Peter J.","""The Bible and the social and moral consequences that derive from its interpretation are all too important to be left in the hands of the pious or the experts, and too significant to be ignored and trivialized by the uninformed and indifferent."," Religion , Biblical Biography , General",Harper Perennial,5.29,May,1998
All over but the Shoutin',"By Bragg, Rick","A New York Times Notable Book of the YearThis haunting, harrowing, gloriously moving recollection of a life on the American margin is the story of Rick Bragg, who grew up dirt-poor in northeastern Alabama, seemingly destined for either the cotton mills or the penitentiary, and instead became a Pulitzer Prize-winning reporter for The New York Times. It is the story of Bragg's father, a hard-drinking man with a murderous temper and the habit of running out on the people who needed him most.But at the center of this soaring memoir is Bragg's mother, who went eighteen years without a new dress so that her sons could have school clothes and picked other people's cotton so that her children wouldn't have to live on welfare alone. Evoking these lives--and the country that shaped and nourished them--with artistry, honesty, and compassion, Rick Bragg brings home the love and suffering that lie at the heart of every family. The result is unforgettable."," Biography & Autobiography , Personal Memoirs",Vintage,4.89,September,1998
Oilers and Sweepers and Other Stories,"By Dennison, George",,,Random House,5.0,January,1979
